timestamp,total_memory,used_memory,free_memory,used_swap,memory_percent,process_memory
2025-03-29 19:24:10.521950,8022.74,6611.11,1411.62,1156.93,82.4,108.83
2025-03-29 19:24:12.146594,8022.74,6603.48,1419.25,1156.93,82.3,109.35
2025-03-29 19:24:13.198826,8022.74,6632.87,1389.87,1156.93,82.7,130.12
2025-03-29 19:24:14.211286,8022.74,6633.73,1389.0,1156.93,82.7,130.36
2025-03-29 19:24:15.230830,8022.74,6633.57,1389.16,1156.93,82.7,130.39
2025-03-29 19:24:16.250145,8022.74,6633.34,1389.4,1156.93,82.7,130.44
2025-03-29 19:24:17.269578,8022.74,6633.58,1389.16,1156.93,82.7,130.58
2025-03-29 19:24:18.289039,8022.74,6633.66,1389.08,1156.93,82.7,130.98
2025-03-29 19:24:19.310452,8022.74,6630.17,1392.57,1156.93,82.6,131.43
2025-03-29 19:24:20.318544,8022.74,6633.97,1388.77,1156.93,82.7,131.57
2025-03-29 19:24:21.339721,8022.74,6629.54,1393.2,1156.93,82.6,131.74
2025-03-29 19:24:22.359154,8022.74,6617.6,1405.14,1156.93,82.5,131.78
2025-03-29 19:24:23.379143,8022.74,6621.0,1401.74,1156.93,82.5,131.79
2025-03-29 19:24:24.399133,8022.74,6618.28,1404.46,1156.93,82.5,131.79
2025-03-29 19:24:25.418494,8022.74,6618.92,1403.82,1156.93,82.5,132.02
2025-03-29 19:24:26.438315,8022.74,6614.71,1408.03,1156.93,82.4,132.02
2025-03-29 19:24:27.457871,8022.74,6617.27,1405.46,1156.93,82.5,132.15
